Status,Date,Description,Debit,Credit
Cleared,11/23/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",163.94,
Cleared,11/22/2024,"Seattle Symphony Seattle WA",239.20,
Cleared,11/21/2024,"SQ *SEATTLE GRAND CENT Seattle WA null XXXXXXXXXXXX5191",10.66,
Cleared,11/20/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",13.90,
Cleared,11/20/2024,"SAFEWAY #0423 SEATTLE WA",19.46,
Cleared,11/19/2024,"SQ *ASSOCIATED FRIENDS Seattle WA null XXXXXXXXXXXX5191",5.00,
Cleared,11/18/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",83.37,
Cleared,11/18/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA null XXXXXXXXXXXX5191",29.99,
Cleared,11/15/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",20.96,
Cleared,11/15/2024,"PROLIANCE SURGEONS INC SEATTLE WA",142.70,
Cleared,11/14/2024,"AMERICAN0012191349920 FORT WORTH TX",1184.83,
Cleared,11/14/2024,"BYT*KING COUNTY METRO SEATTLE WA",2.75,
Cleared,11/14/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",153.74,
Cleared,11/12/2024,"Disney Plus 8889057888 CA",176.55,
Cleared,11/12/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",36.33,
Cleared,11/11/2024,"TST* SALT AND STRAW - SEATTLE WA null XXXXXXXXXXXX5191",10.21,
Cleared,11/11/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",8.16,
Cleared,11/11/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",57.97,
Cleared,11/10/2024,"BOOKTIX.COM EAST BRUNSWIC NJ",11.50,
Cleared,11/10/2024,"FANDANGO * 8003263264 CA null XXXXXXXXXXXX5191",15.30,
Cleared,11/10/2024,"SQ *THE 14/48 PROJECTS Seattle WA null XXXXXXXXXXXX5191",20.00,
Cleared,11/10/2024,"FANDANGO * 8003263264 CA null XXXXXXXXXXXX5191",79.66,
Cleared,11/09/2024,"SQ *THE 14/48 PROJECTS Seattle WA null XXXXXXXXXXXX5191",20.00,
Cleared,11/08/2024,"TST* ZEEK'S PIZZA - RA SEATTLE WA null XXXXXXXXXXXX5191",30.90,
Cleared,11/08/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",18.45,
Cleared,11/08/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",37.00,
Cleared,11/07/2024,"WHOLEFDS RSQ 10103 SEATTLE WA null XXXXXXXXXXXX5191",6.72,
Cleared,11/06/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",11.50,
Cleared,11/06/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",20.88,
Cleared,11/06/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA null XXXXXXXXXXXX5191",36.08,
Cleared,11/05/2024,"SQ *O RYAN MOBILE DETA gosq.com WA null XXXXXXXXXXXX5191",916.58,
Cleared,11/04/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",204.57,
Cleared,11/03/2024,"LITTLE RED HEN SEATTLE WA",9.70,
Cleared,11/03/2024,"ACE PARKING 3288 SEATTLE WA",10.00,
Cleared,11/02/2024,"GIDDY UP BURGERS SEATTLE WA",8.49,
Cleared,10/31/2024,"NYTIMES DISC* 8006984637 NY null XXXXXXXXXXXX5191",4.09,
Cleared,10/31/2024,"QFC #5807 SEATTLE WA",34.96,
Cleared,10/31/2024,"BARTELL DRUG 06931 SEATTLE WA null XXXXXXXXXXXX5191",3.99,
Cleared,10/30/2024,"ST SUBSCRIPTIONS 8886247323 WA",15.96,
Cleared,10/30/2024,"SQ *O RYAN MOBILE DETA gosq.com WA null XXXXXXXXXXXX5191",200.93,
Cleared,10/30/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",35.12,
Cleared,10/29/2024,"HOMEOWNERS INSURANCE BOSTON MA",129.00,
Cleared,10/29/2024,"MED*SWEDISH MEDICAL CT 888-294-9333 WA null XXXXXXXXXXXX5191",218.00,
Cleared,10/29/2024,"MED*SWEDISH MEDICAL GR 888-294-9333 WA null XXXXXXXXXXXX5191",354.75,
Cleared,10/29/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",15.97,
Cleared,10/28/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",4.99,
Cleared,10/27/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",22.79,
Cleared,10/27/2024,"BARTELL DRUG 06931 SEATTLE WA null XXXXXXXXXXXX5191",9.08,
Cleared,10/26/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",,-11.58
Cleared,10/26/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",129.05,
Cleared,10/25/2024,"AUTOPAY 999990000092096RAUTOPAY AUTO-PMT",,-3038.35
Cleared,10/24/2024,"QFC #5891 SEATTLE WA null XXXXXXXXXXXX5191",10.84,
Cleared,10/24/2024,"TOP BANANA SEATTLE WA null XXXXXXXXXXXX5191",34.49,
Cleared,10/24/2024,"SHELL OIL10005983019 SEATTLE WA null XXXXXXXXXXXX5191",3.49,
Cleared,10/23/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",38.77,
Cleared,10/22/2024,"Dyson Direct Inc Chicago IL null XXXXXXXXXXXX5191",331.04,
Cleared,10/21/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",171.02,
Cleared,10/20/2024,"Patreon* Membership Internet CA null XXXXXXXXXXXX9835",10.13,
Cleared,10/20/2024,"LITTLE RED HEN SEATTLE WA",12.70,
Cleared,10/18/2024,"QFC #5891 SEATTLE WA null XXXXXXXXXXXX5191",23.74,
Cleared,10/18/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",58.49,
Cleared,10/17/2024,"MAPLE LEAF ACE SEATTLE WA null XXXXXXXXXXXX5191",,-27.60
Cleared,10/17/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",27.58,
Cleared,10/16/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",20.96,
Cleared,10/16/2024,"MAPLE LEAF ACE SEATTLE WA null XXXXXXXXXXXX5191",199.92,
Cleared,10/15/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",74.39,
Cleared,10/14/2024,"SIXSTRINGCOUNTRY.COM HUDSONVILLE MI null XXXXXXXXXXXX2240",11.95,
Cleared,10/13/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",78.55,
Cleared,10/13/2024,"SPIRIT HALLOWEEN 61043 SEATTLE WA null XXXXXXXXXXXX5191",8.00,
Cleared,10/13/2024,"SPIRIT HALLOWEEN 61043 SEATTLE WA null XXXXXXXXXXXX5191",82.71,
Cleared,10/13/2024,"TARGET 00012849 SEATTLE WA null XXXXXXXXXXXX5191",224.34,
Cleared,10/12/2024,"TACO TIME SEATTLE-SHIL SEATTLE WA null XXXXXXXXXXXX5191",5.51,
Cleared,10/12/2024,"TACO TIME SEATTLE-SHIL SEATTLE WA null XXXXXXXXXXXX5191",8.36,
Cleared,10/12/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",43.01,
Cleared,10/12/2024,"HABITUDE AT THE LOCKS SEATTLE WA null XXXXXXXXXXXX5191",90.49,
Cleared,10/09/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",31.38,
Cleared,10/09/2024,"SQ *TRACTOR TAVERN Seattle WA null XXXXXXXXXXXX5191",30.90,
Cleared,10/09/2024,"TRACTOR TAVERN SEATTLE WA",8.26,
Cleared,10/09/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",57.18,
Cleared,10/08/2024,"SQ *SEATTLE GRAND CENT Seattle WA null XXXXXXXXXXXX5191",4.75,
Cleared,10/07/2024,"DISCOVERYOURNORTHWEST 877-874-6775 WA",5.00,
Cleared,10/07/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",184.18,
Cleared,10/07/2024,"THIRD PLACE BOOKS - RA SEATTLE WA null XXXXXXXXXXXX5191",67.21,
Cleared,10/06/2024,"BARTELL DRUG 06931 SEATTLE WA null XXXXXXXXXXXX5191",53.89,
Cleared,10/05/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",47.13,
Cleared,10/03/2024,"LITTLE RED HEN SEATTLE WA",14.00,
Cleared,10/02/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",83.75,
Cleared,10/02/2024,"ST SUBSCRIPTIONS 8886247323 WA",15.96,
Cleared,10/02/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",30.32,
Cleared,10/01/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",46.72,
Cleared,09/28/2024,"BIRD APP* PENDING.BIRD MIAMI FL null XXXXXXXXXXXX5191",2.52,
Cleared,09/28/2024,"LITTLE RED HEN SEATTLE WA",7.00,
Cleared,09/27/2024,"BIRD APP* PENDING.BIRD MIAMI FL null XXXXXXXXXXXX5191",2.94,
Cleared,09/27/2024,"BROWN BEAR BALLARD SEATTLE WA null XXXXXXXXXXXX5191",13.23,
Cleared,09/27/2024,"CENTURY BALLROOM SEATTLE WA null XXXXXXXXXXXX5191",20.00,
Cleared,09/27/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",24.56,
Cleared,09/27/2024,"THE TIN TABLE SEATTLE WA",9.83,
Cleared,09/27/2024,"THE TIN TABLE SEATTLE WA",9.83,
Cleared,09/26/2024,"WHOLEFDS RSQ 10103 SEATTLE WA null XXXXXXXXXXXX5191",4.73,
Cleared,09/26/2024,"HELP.MAX.COM NEW YORK NY",187.58,
Cleared,09/25/2024,"AUTOPAY 999990000092096RAUTOPAY AUTO-PMT",,-3203.74
Cleared,09/25/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",2.69,
Cleared,09/25/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",50.70,
Cleared,09/24/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",34.26,
Cleared,09/24/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",166.35,
Cleared,09/23/2024,"MED*SWEDISH MEDICAL GR 888-294-9333 WA null XXXXXXXXXXXX5191",354.75,
Cleared,09/22/2024,"TCKTWEB* 800-965-4827 CA",,-107.63
Cleared,09/22/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",65.10,
Cleared,09/22/2024,"OLAF'S SEATTLE WA",47.50,
Cleared,09/22/2024,"LITTLE RED HEN SEATTLE WA",16.00,
Cleared,09/20/2024,"GORGE AMPHITHEATRE BEVERLY HILLS CA",146.07,
Cleared,09/20/2024,"THE GORGE AMPHITHEATRE QUINCY WA null XXXXXXXXXXXX5191",8.66,
Cleared,09/20/2024,"DAIRY QUEEN #18955 CLE ELUM WA null XXXXXXXXXXXX5191",16.84,
Cleared,09/20/2024,"REI #116 ISSAQUAH ISSAQUAH WA null XXXXXXXXXXXX5191",69.13,
Cleared,09/20/2024,"SAFEWAY FUEL1135 CLE ELUM WA",42.53,
Cleared,09/19/2024,"TST* HATBACK BAR & GRI SEATTLE WA",72.11,
Cleared,09/18/2024,"T-MOBILE PARK SEATTLE WA null XXXXXXXXXXXX5191",8.82,
Cleared,09/18/2024,"T-MOBILE PARK SEATTLE WA null XXXXXXXXXXXX5191",8.82,
Cleared,09/17/2024,"TST* THE WESTY ROOSEVE SEATTLE WA null XXXXXXXXXXXX5191",9.83,
Cleared,09/15/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX9835",20.96,
Cleared,09/14/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",85.52,
Cleared,09/14/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",18.23,
Cleared,09/13/2024,"IKEA 463014511 BALTIMORE MD",549.52,
Cleared,09/12/2024,"NATIONAL BARRICADE CO SEATTLE WA null XXXXXXXXXXXX5191",2.76,
Cleared,09/12/2024,"THE GRATEFUL BREAD SEATTLE WA null XXXXXXXXXXXX5191",12.62,
Cleared,09/12/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",24.96,
Cleared,09/11/2024,"76 - THE POINT SEATTLE WA",19.52,
Cleared,09/11/2024,"SCHLPAY*SEATTLE PS SEATTLE WA",93.59,
Cleared,09/11/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",43.97,
Cleared,09/09/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",127.12,
Cleared,09/09/2024,"OLAF'S SEATTLE WA",21.00,
Cleared,09/08/2024,"PY *BASECAMP BOOKS AND ROSLYN WA null XXXXXXXXXXXX5191",13.91,
Cleared,09/08/2024,"PY *BASECAMP BOOKS AND ROSLYN WA",28.00,
Cleared,09/08/2024,"LITTLE RED HEN SEATTLE WA",10.00,
Cleared,09/07/2024,"PILOT 1195 ELLENSBURG WA null XXXXXXXXXXXX5191",14.41,
Cleared,09/07/2024,"PILOT 1195 ELLENSBURG WA",38.19,
Cleared,09/07/2024,"STEWART LODGE CLE ELUM WA",196.90,
Cleared,09/06/2024,"THE GORGE AMPHITHEATRE QUINCY WA null XXXXXXXXXXXX5191",17.23,
Cleared,09/06/2024,"DAIRY QUEEN #18955 CLE ELUM WA",27.74,
Cleared,09/06/2024,"NATIONAL BARRICADE CO SEATTLE WA",49.66,
Cleared,09/04/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",3.95,
Cleared,09/04/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",16.07,
Cleared,09/04/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",50.99,
Cleared,09/04/2024,"CAMPBELLS LODGE CHELAN WA",26.02,
Cleared,09/04/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",31.38,
Cleared,09/04/2024,"ST SUBSCRIPTIONS 8886247323 WA",15.96,
Cleared,09/03/2024,"ASSUMPTION-ST BRIDGET SEATTLE WA",65.00,
Cleared,09/02/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",186.96,
Cleared,09/02/2024,"FEDEX OFFIC51800051847 SEATTLE WA",2.68,
Cleared,09/02/2024,"FEDEX OFFIC51800051847 SEATTLE WA",4.86,
Cleared,09/02/2024,"FEDEX OFFIC51800051847 SEATTLE WA",5.82,
Cleared,08/31/2024,"SQ *SEATTLE GRAND CENT Seattle WA null XXXXXXXXXXXX5191",11.11,
Cleared,08/30/2024,"VIEW RIDGE SWIMMING & SEATTLE WA null XXXXXXXXXXXX5191",7.00,
Cleared,08/29/2024,"76 - THE POINT SEATTLE WA",38.63,
Cleared,08/29/2024,"REI #116 ISSAQUAH ISSAQUAH WA null XXXXXXXXXXXX5191",154.42,
Cleared,08/28/2024,"TRADER JOE S #147 SEATTLE WA null XXXXXXXXXXXX5191",136.46,
Cleared,08/28/2024,"TST*MAGNUSON CAFE & BR Seattle WA null XXXXXXXXXXXX5191",51.19,
Cleared,08/27/2024,"SQ *CONOR BYRNE COOPER SEATTLE WA null XXXXXXXXXXXX5191",10.00,
Cleared,08/27/2024,"TM *GORGE AMPHITHEATRE 800-653-8000 CA null XXXXXXXXXXXX7705",125.00,
Cleared,08/26/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",49.29,
Cleared,08/25/2024,"AUTOPAY 999990000092096RAUTOPAY AUTO-PMT",,-4110.94
Cleared,08/25/2024,"SAFEWAY #1589 LEAVENWORTH WA null XXXXXXXXXXXX5191",,-60.81
Cleared,08/25/2024,"TCKTWEB*KELLYWILLIS 800-965-4827 CA",107.63,
Cleared,08/25/2024,"DAS SWEET SHOP LEAVENWORTH WA null XXXXXXXXXXXX5191",18.64,
Cleared,08/25/2024,"DAN'S FOOD MARKET LEAVENWORTH WA null XXXXXXXXXXXX5191",58.40,
Cleared,08/25/2024,"SAFEWAY #1589 LEAVENWORTH WA null XXXXXXXXXXXX5191",120.99,
Cleared,08/24/2024,"KAHLERGLENGOLFSKI LEAVENWORTH WA null XXXXXXXXXXXX5191",16.25,
Cleared,08/23/2024,"DAIRY QUEEN #18955 CLE ELUM WA",13.18,
Cleared,08/23/2024,"SAFEWAY FUEL1135 CLE ELUM WA",39.38,
Cleared,08/22/2024,"TM *GORGE AMPHITHEATRE 800-653-8000 CA null XXXXXXXXXXXX7705",99.00,
Cleared,08/22/2024,"WAVE - *NW NATURE GARD SEATTLE WA null XXXXXXXXXXXX5191",132.30,
Cleared,08/20/2024,"BARTELL DRUG 06971 SEATTLE WA null XXXXXXXXXXXX5191",,-1.86
Cleared,08/20/2024,"BARTELL DRUG 06971 SEATTLE WA null XXXXXXXXXXXX5191",12.90,
Cleared,08/18/2024,"2GC@WPZ SEATTLE WA null XXXXXXXXXXXX5191",37.31,
Cleared,08/17/2024,"PCC - GREENLAKE VILL SEATTLE WA null XXXXXXXXXXXX5191",3.99,
Cleared,08/17/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",111.69,
Cleared,08/17/2024,"TST*GREAT STATE BURGER Seattle WA null XXXXXXXXXXXX5191",28.45,
Cleared,08/16/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",101.36,
Cleared,08/15/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",20.96,
Cleared,08/14/2024,"SILVERWOOD THEME PARK ATHOL ID",,-38.13
Cleared,08/14/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",15.33,
Cleared,08/14/2024,"ARCO#07112ARCO #071QPS BELLEVUE WA",41.21,
Cleared,08/12/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",257.13,
Cleared,08/11/2024,"2GC@WPZ SEATTLE WA null XXXXXXXXXXXX5191",20.26,
Cleared,08/10/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",27.77,
Cleared,08/09/2024,"VIEW RIDGE SWIMMING & SEATTLE WA null XXXXXXXXXXXX5191",30.00,
Cleared,08/09/2024,"TST*OLD STOVE BREWING Seattle WA null XXXXXXXXXXXX5191",10.92,
Cleared,08/09/2024,"LITTLE RED HEN SEATTLE WA",7.00,
Cleared,08/08/2024,"DAIRY QUEEN #18955 CLE ELUM WA",30.02,
Cleared,08/08/2024,"SAFEWAY FUEL1135 CLE ELUM WA",46.24,
Cleared,08/07/2024,"BI-MART 625 RATHDRUM ID null XXXXXXXXXXXX5191",55.04,
Cleared,08/07/2024,"ST SUBSCRIPTIONS 8886247323 WA",15.96,
Cleared,08/07/2024,"SILVERWOOD THEME PARK ATHOL ID",16.94,
Cleared,08/06/2024,"SLEEP INN POST FALLS ID",381.63,
Cleared,08/06/2024,"BEST LOCKERS SILVERWOO ATHOL ID",20.00,
Cleared,08/06/2024,"SILVERWOOD THEME PARK ATHOL ID",1.88,
Cleared,08/06/2024,"SILVERWOOD THEME PARK ATHOL ID null XXXXXXXXXXXX3691",10.00,
Cleared,08/05/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",24.94,
Cleared,08/05/2024,"SILVERWOOD THEME PARK ATHOL ID",515.70,
Cleared,08/05/2024,"LOVE'S #0514 INSIDE RITZVILLE WA null XXXXXXXXXXXX5191",11.49,
Cleared,08/05/2024,"DAIRY QUEEN #18955 CLE ELUM WA",33.48,
Cleared,08/05/2024,"LOVE'S #0514 OUTSIDE RITZVILLE WA",47.33,
Cleared,08/04/2024,"TST* MCMENAMINS - EDGE TROUTDALE OR null XXXXXXXXXXXX5191",13.00,
Cleared,08/04/2024,"TST* BURGERMASTER - UN SEATTLE WA null XXXXXXXXXXXX5191",17.63,
Cleared,08/04/2024,"EDGEFIELD GIFT SHOP TROUTDALE OR",70.95,
Cleared,08/04/2024,"BROWN BEAR BALLARD SEATTLE WA null XXXXXXXXXXXX5191",13.23,
Cleared,08/03/2024,"TST* MCMENAMINS - EDGE TROUTDALE OR null XXXXXXXXXXXX5191",18.00,
Cleared,08/03/2024,"BLUTOS PORTLAND OR null XXXXXXXXXXXX5191",42.55,
Cleared,08/03/2024,"TARGET 00014068 FAIRVIEW OR null XXXXXXXXXXXX5191",93.37,
Cleared,08/03/2024,"WOOD VILLAGE MARKET & TROUTDALE OR",4.29,
Cleared,08/03/2024,"WOOD VILLAGE MARKET & TROUTDALE OR",4.70,
Cleared,08/03/2024,"PILOT 151 TUMWATER WA",3.39,
Cleared,08/03/2024,"PILOT 151 TUMWATER WA",35.99,
Cleared,08/02/2024,"WOOD VILLAGE MARKET & TROUTDALE OR null XXXXXXXXXXXX5191",30.81,
