Status,Date,Description,Debit,Credit
Cleared,07/12/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",20.99,
Cleared,07/12/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",23.94,
Cleared,07/11/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",327.40,
Cleared,07/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,07/09/2025,"ALLSTATE *PAYMENT 800-255-7828 IL null XXXXXXXXXXXX0575",661.70,
Cleared,07/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-1577.71
Cleared,07/07/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,07/01/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",69.62,
Cleared,06/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,06/29/2025,"SUBARU STARLINK 800-782-2783 NJ",149.90,
Cleared,06/28/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",28.80,
Cleared,06/27/2025,"ALPHA MARTIAL ARTS RAV SEATTLE WA",1188.00,
Cleared,06/26/2025,"ALPHA MARTIAL ARTS RAV SEATTLE WA",2564.00,
Cleared,06/25/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",37.35,
Cleared,06/23/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",35.31,
Cleared,06/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",8.90,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",17.91,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",18.98,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",20.91,
Cleared,06/21/2025,"NETFLIX.COM LOS GATOS CA null XXXXXXXXXXXX8399",27.58,
Cleared,06/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",8.98,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",10.99,
Cleared,06/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",18.97,
Cleared,06/20/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",24.92,
Cleared,06/20/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",59.56,
Cleared,06/18/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,06/16/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",6.38,
Cleared,06/16/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",7.16,
Cleared,06/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",18.90,
Cleared,06/14/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",21.76,
Cleared,06/13/2025,"ALLSTATE *PAYMNT 800-255-7828 IL null XXXXXXXXXXXX0575",583.25,
Cleared,06/12/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,06/11/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,06/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,06/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-863.24
Cleared,06/07/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",3.50,
Cleared,06/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",12.41,
Cleared,06/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",12.94,
Cleared,05/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,05/29/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,05/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",18.65,
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-14.99
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-14.99
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-14.99
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-35.99
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-35.99
Cleared,05/26/2025,"ALASKA A SEATTLE WA",,-35.99
Cleared,05/25/2025,"ALASKA A SEATTLE WA",26.99,
Cleared,05/25/2025,"ALASKA A SEATTLE WA",26.99,
Cleared,05/25/2025,"ALASKA A SEATTLE WA",26.99,
Cleared,05/25/2025,"ALASKA A SEATTLE WA",31.99,
Cleared,05/25/2025,"ALASKA A SEATTLE WA",31.99,
Cleared,05/25/2025,"ALASKA A SEATTLE WA",31.99,
Cleared,05/24/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",2.27,
Cleared,05/21/2025,"Netflix.com Los Gatos CA null XXXXXXXXXXXX8399",27.58,
Cleared,05/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,05/18/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",14.98,
Cleared,05/18/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",51.96,
Cleared,05/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",29.95,
Cleared,05/15/2025,"SEATTLE CITY LIGHT SEATTLE WA",162.13,
Cleared,05/13/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",321.86,
Cleared,05/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,05/09/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",3.00,
Cleared,05/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-3056.01
Cleared,05/03/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.97,
Cleared,05/01/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.00,
Cleared,04/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,04/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",37.90,
Cleared,04/23/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,04/23/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX8315",4.00,
Cleared,04/23/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX8315",20.78,
Cleared,04/21/2025,"Netflix.com Los Gatos CA null XXXXXXXXXXXX8399",27.58,
Cleared,04/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,04/20/2025,"STARBUCKS 800-782-7282 800-782-7282 WA",35.00,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",0.50,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",0.50,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",0.50,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",0.90,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.00,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.50,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.75,
Cleared,04/17/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",3.00,
Cleared,04/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",37.30,
Cleared,04/15/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",98.42,
Cleared,04/12/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.04,
Cleared,04/10/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,04/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,04/10/2025,"ATT* BILL PAYMENT DALLAS TX",485.06,
Cleared,04/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-427.29
Cleared,04/05/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",23.90,
Cleared,04/03/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,03/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,03/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",42.25,
Cleared,03/28/2025,"ALASKA A SEATTLE WA",50.98,
Cleared,03/28/2025,"ALASKA A SEATTLE WA",50.98,
Cleared,03/28/2025,"ALASKA A SEATTLE WA",50.98,
Cleared,03/28/2025,"ALASKA A0272100954451 SEATTLE WA",286.60,
Cleared,03/28/2025,"ALASKA A0272100954452 SEATTLE WA",286.60,
Cleared,03/28/2025,"ALASKA A0272100954453 SEATTLE WA",286.60,
Cleared,03/26/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,03/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",23.97,
Cleared,03/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",27.57,
Cleared,03/21/2025,"NETFLIX.COM LOS GATOS CA null XXXXXXXXXXXX8399",27.58,
Cleared,03/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,03/21/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",4.00,
Cleared,03/20/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,03/19/2025,"SEATTLE CITY LIGHT SEATTLE WA",249.56,
Cleared,03/19/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",2.60,
Cleared,03/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",14.70,
Cleared,03/14/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",349.54,
Cleared,03/13/2025,"YNP AHWAHNEE LODGING FRESNO CA",,-716.08
Cleared,03/13/2025,"AXS.COMNORTHWEST 8889297849 CA null XXXXXXXXXXXX0074",112.60,
Cleared,03/10/2025,"APPLE.COM/BILL CUPERTINO CA",9.99,
Cleared,03/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-2116.13
Cleared,03/08/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",9.97,
Cleared,03/08/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",23.94,
Cleared,03/08/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.30,
Cleared,03/07/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",12.90,
Cleared,03/06/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,03/01/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,03/01/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",14.70,
Cleared,03/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",16.95,
Cleared,03/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.77,
Cleared,02/28/2025,"UBER TRIP* TRIP SAN FRANCISCO CA null XXXXXXXXXXXX3113",21.90,
Cleared,02/28/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",16.94,
Cleared,02/28/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",18.43,
Cleared,02/27/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,02/26/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.20,
Cleared,02/21/2025,"NETFLIX.COM LOS GATOS CA null XXXXXXXXXXXX8399",25.37,
Cleared,02/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,02/18/2025,"APPLE.COM/BILL CUPERTINO CA",11.02,
Cleared,02/17/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",21.95,
Cleared,02/17/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",11.91,
Cleared,02/17/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",9.94,
Cleared,02/17/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.79,
Cleared,02/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",27.25,
Cleared,02/13/2025,"MEMBERSHIP FEE FEB 25-JAN 26",0.00,
Cleared,02/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,02/09/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",7.84,
Cleared,02/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-1129.16
Cleared,02/06/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,02/06/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",4.50,
Cleared,02/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",16.22,
Cleared,02/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.06,
Cleared,02/01/2025,"AXS.COMNORTHWEST 8889297849 CA null XXXXXXXXXXXX0074",82.86,
Cleared,01/30/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,01/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,01/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",14.70,
Cleared,01/23/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,01/21/2025,"NETFLIX.COM LOS GATOS CA null XXXXXXXXXXXX8399",25.37,
Cleared,01/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,01/21/2025,"ALLSTATE *PAYMENT 800-255-7828 IL null XXXXXXXXXXXX0575",807.77,
Cleared,01/18/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",28.80,
Cleared,01/18/2025,"APPLE.COM/BILL CUPERTINO CA",11.02,
Cleared,01/17/2025,"Thankyou Points Redeemed TY OR260222504",,-0.01
Cleared,01/17/2025,"Thankyou Points Redeemed TY OR260222797",,-399.00
Cleared,01/16/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,01/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",19.70,
Cleared,01/14/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",69.62,
Cleared,01/14/2025,"SEATTLE CITY LIGHT SEATTLE WA",216.13,
Cleared,01/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,01/10/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",18.92,
Cleared,01/10/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.95,
Cleared,01/10/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",340.05,
Cleared,01/10/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",17.14,
Cleared,01/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-1757.82
Cleared,01/04/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",15.93,
Cleared,01/04/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",17.99,
Cleared,01/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.90,
Cleared,01/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",24.91,
